sample_id,source,review_id,rating,date,text,app_version,country
13,google_play,cd8c772f-bb7e-4389-bd12-54abfede2c48,1,2026-06-19T08:02:09,"Defective Clasp, Poor Warranty Support. New WHOOP member and very disappointed. The clasp/retention mechanism on my device failed during normal wear at an airport, causing the sensor to detach and become lost. I contacted WHOOP and explained that this was caused by defective hardware, not misuse or carelessness, but they refused to replace it and treated it as a simple lost item. For a premium subscription product, the warranty and customer support experience has been extremely disappointing.",5.456.0,us
14,app_store,13570106569,3,2025-12-29T11:47:41-07:00,Scrolling in the strength trainer doesn’t work and is extremely frustrating to use. Very annoying experience trying to get muscular load captured. Please fix soon!,5.33.0,us
15,google_play,554bd815-ad67-4b0c-a87e-7ed539bde230,4,2024-01-07T13:17:51,"Very well done app overall. There's no calisthenics activity option. Cardio data not as accurate as chest strap devices (eg, Wahoo).",4.130.2,us
16,google_play,3b405eae-5eef-4f04-9946-77bc6e0d2b6c,5,2024-03-29T03:39:30,5 out of 5 stars.,4.144.0,us
17,google_play,73eab05a-514d-4b34-afab-025dea9669da,2,2024-03-13T01:23:43,"Whoop service&insights are great, but app has major nuisances & flaws: 1) App completely stops working when offline! I should be able to navigate the app & see my data when offline. 2) I should be able to add journal entries as they happen (during current day). It's hard to remember when & what I did yesterday; 3) Each journal item should have its own button ""use yesterday's value X"" (Not just apply ALL yesterday's values to ALL items) 4) I should be able to see past blood oxygen levels (chart)",4.139.3,us
18,app_store,14249499193,1,2026-07-01T06:30:46-07:00,I will NOT renew this next year! Blatant rip off!,5.59.0,us
19,google_play,5f1dfb7c-97ab-4c21-85ce-1648af58a925,2,2021-12-08T11:58:04,Recently whoop band disconnents regularly from mobile device. Whoop unable to provide work around and I am waiting approx 12-16weeks for the whoop 4 to be delivered,4.26.0,us
20,google_play,7ddf270a-8740-447f-8e75-d5fb04f9994d,1,2021-10-16T06:57:02,"The sleep data is completely random. I get up during the night and it might call it REM sleep, maybe deep sleep, who knows. If I forget to end sleep in the morning it randomly assigns some sleep stage to my breakfast. The band used to stay paired to my phone, now if I walk away from the phone for one minute, it unpairs and won't re-pair until I uninstall and reinstall the app. Customer support just gives me cut and paste responses.",4.18.1,us
21,google_play,a86d4024-ff09-4d89-9976-ec263d474eef,2,2018-04-13T07:16:35,"Just switched from iOS and while almost every other app is improved on 
Android this app just misses the mark in comparison. I just don't 
understand why the functionality isn't identical across platforms. I'm 
finding the whoop less useful without the charts I'm used to from iOS",1.1,us
22,app_store,13936496189,1,2026-04-08T10:43:22-07:00,"I’m writing this on behalf of my 16-year-old son, whose account I manage.
This has been an extremely frustrating and disappointing experience with WHOOP, and it raises serious concerns about how they handle billing and customer communication.
An expiration date was added to the account without authorization, which resulted in a charge we did not approve.
After contacting support, I received written confirmation that the membership would be canceled and that a refund would be issued. I was then told the refund could not be processed unless I withdrew my dispute with the debit card company.
Based on that direction, I withdrew the dispute in good faith so WHOOP could issue the promised refund. As expected, once the dispute was withdrawn, the debit card company ruled in WHOOP’s favor.
After I informed WHOOP that I had done exactly what they asked, I was then told they could not issue the refund because of the debit card company’s ruling.
So to be clear: A refund was promised → I was instructed to remove the dispute → I complied in good faith → and then the refund was denied anyway.
That is not just frustrating, it is completely unacceptable. I relied on their written communication, and their position changed the moment it benefited them.
At this point, I am still requesting that WHOOP honor the refund they explicitly committed to.
Until this is resolved, I would strongly caution others to be very careful when dealing with their billing practices and dispute process.",5.47.0,us
23,app_store,14027622017,3,2026-05-04T07:44:51-07:00,I hope the Chinese version will be available as soon as possible.,5.50.0,us
24,google_play,a80aa0a2-0865-4004-b9b0-b410e1c8d038,2,2020-07-12T17:41:18,"Pretty cool to track your recovery, strain, HRV, but overall I don't think it's very accurate and is too exoensive. Especially not accurate enough for $30/month. Why not just buy something higher end?",3.5.8,us
25,google_play,84b2ec73-ba47-4712-ac80-b49bb75994c3,5,2024-04-16T19:56:56,"Nothing but great experience and customer service. Had it for 5 years now, or more",4.147.0,us
26,app_store,14371353043,5,2026-07-31T10:03:24-07:00,Whoop has made me stronger and healthier than ever,5.63.0,us
27,google_play,ecf5a064-bfaa-47ae-8ff0-134f655c32e7,4,2022-08-09T12:23:38,"Overall great. Pros/cons of app & hardware: +comfortable +looks great +battery & charger! +worn above bicep, 95% accurate during exercise! +great UI +great customer service +frequent updates/improvent -ability to distinguish sleep stages is terrible, like *every* other wearable today -data processing only happens on server which adds long delays (20m) before you can see report after an activity -only works while online, doesn't seem to even cache data -no airplane mode on band",4.59.0,us
28,google_play,54d16c28-1439-4c56-9c1e-b88c2446b1f3,4,2026-04-01T04:07:46,device is cheap but app is very strong. Customer service is very challenging.,5.445.0,us
29,app_store,14287048492,3,2026-07-10T11:00:17-07:00,Cool data but I struggle to make it actionable. It does a great job tracking sleep but over counts steps and seems to be off on things like BMR. I’ll likely go back to Apple Watch. It has its challenges too but is paid for…,5.60.0,us
30,app_store,14322243566,5,2026-07-19T05:49:27-07:00,"Absolutely love the whoop! Tracks everything you can imagine, graphs it all and makes it accessible in a way that allows you to make decisions daily on how to approach the day on a way that supports health and longevity!",5.61.0,us
31,google_play,60a36186-12a8-4b1d-93e1-aceb2fc2636b,4,2023-08-09T10:12:07,Great app with lots of useful data collected and analyzed!,4.112.0,us
32,google_play,7bc4a29c-a9a2-4f5b-bb21-4eb9a01bc6d0,5,2026-04-06T18:20:08,it really help me to track my sleep consistency,5.444.1,us
33,app_store,13907649445,3,2026-03-31T10:17:27-07:00,Seems to be getting unreliable and not updating properly   If you are trying to get us to upgrade - all you will achieve is subscription cancellation,5.46.1,us
34,app_store,14216569401,1,2026-06-23T05:45:12-07:00,"I like the band but I hate how bad the AI coach is and that you can’t disable it. Every time I’ve tried to turn it off, following their instructions, it seems to turn back on. And customer support is entirely AI: AI emails, AI chat. For $350 a year this is laughable. I wish I got a $99 Fitbit air instead.",5.57.0,us
35,google_play,c4a88468-5a2d-4a05-8ae8-005c580f39bf,1,2023-12-05T12:35:58,"Be very careful before you commit, sent them a letter through my lawyer to stop charging my account. They never responded, 12 months of $30+tax is not worth this device.",,us
36,google_play,ff5ff1ad-090f-425d-9167-beec019b3fc8,5,2020-11-16T10:38:17,Amazing software. Would be nice to see body temp fluctuations as well.,4.1.1,us
37,app_store,13621960199,1,2026-01-11T09:49:51-07:00,Absolutely garbage app. Can’t even connect my whoop to my new iphone 17 pro max. I paid for the whole year but its not letting me connect to my account keeps bringing me to pay screen. Broke my streak of 181 days. Do not recommend. I want a refund.,5.34.0,us
38,google_play,b3abd055-d92d-4655-b497-5c605e6c8402,1,2024-01-06T19:03:22,Wouldn't pair with the device and Wouldn't let me get to my account to change settings. First time I've ever had this kind of trouble with a Bluetooth device.,4.130.2,us
39,google_play,d168d7f9-7967-4f09-9bca-251965b6de0f,4,2025-04-05T02:02:24,"Было бы не плохо, если бы добавили русский язык",4.200.0,us
40,google_play,237441e8-ebb1-4485-973e-75dd2924ca3b,4,2020-07-06T19:14:11,"It doea everything it advertises and more. The only qualm i have is that i work a midnight shift so the app gets a bit buggy when calculating sleep and workouts for the ""day"".",3.5.7,us
41,google_play,f44d9395-b360-4c29-a0d6-e697409579e9,1,2022-12-27T20:14:14,Firmware glitches out around 80pct update. No response from support when contacted.,4.80.0,us
42,google_play,76c52d5e-8fdf-4c13-aa7f-1516b95a4c92,2,2019-09-30T13:49:09,It's allot thicker than it looks online. I find it irritating to sleep with. The android app isn't as good as the iPhone app. And the fact you have to keep paying every month and never really own it like any other fitness tracker makes me give it 2 stars. Fun gimmick. That's all.,2.0.16,us
43,app_store,14227193547,1,2026-06-25T21:23:04-07:00,WHOOP is unable to keep track of consistent and accurate data.  Battery life is unreliable,5.58.0,us
44,google_play,d9b7284d-d416-44ff-8a36-98738181cc28,3,2020-07-01T01:35:13,The app was great when I first got it. Have had it for about 5 to 6 months. In the last month it has been acting weird with logging data. I know the data is still logging but viewing it especially when logging a workout has gotten troublesome....trying to figure out bugs.,3.5.7,us
45,app_store,14331113883,4,2026-07-21T10:09:47-07:00,"Genuinely incredible. But please improve the strength trainer UI!! It really needs some work, and the exercise catalog there",5.62.0,us
46,app_store,13830234830,2,2026-03-09T06:54:44-07:00,"Coming from the Garmin world and got this for free through Chase Sapphire. Figured I’d try it. Man, it sucks. Brittle, cheap hardware. A cluttered app that takes forever to sync. Worst of all, the subscription model.",5.42.0,us
47,google_play,052f08cb-bbd7-4220-97e2-9e1c7e600aaf,4,2019-04-12T03:31:04,"is there an update to the app that I somehow missed? it's been real slow, I'm pretty sure it's not counting everything and it no longer asks me for sleep input half the time. takes at least an hour to process anything.",1.1.9-2,us
48,google_play,b9907933-c245-4a47-b7ed-7f8b08a5f5d1,5,2026-01-13T00:44:00,Best purchase ever. Life changing/organising !,5.431.0,us
49,app_store,14220922409,5,2026-06-24T07:55:47-07:00,I can’t go without it.,5.58.0,us
50,app_store,13771811960,1,2026-02-20T19:13:52-07:00,Would not recommended. Product is underdeveloped. Data is not as accurate as anticipated. Use for 2-3 months  (max) then move on.,5.40.0,us
51,app_store,14383177720,5,2026-08-03T08:34:12-07:00,It provides feedback and keeps me accountable.,5.63.0,us
52,app_store,14079932494,4,2026-05-18T15:08:25-07:00,"Great app overall. I recently rejoined after a break and think the AI integration is really well done.

One frustrating bug to report - when you search for activities for an activity, the only way to select an activity type is from the main/All tab - it doesn’t allow you to select an activity in the other tabs like ‘Recovery’. 

Additionally, it only shows 5 most frequent / most recent activities. It should allow the user to favorite activities.

Thanks!",5.52.0,us
53,google_play,3aab1f69-3072-46c8-ac79-115107d312fd,1,2022-01-27T21:58:03,Will not pair with device. Waited 3 months for this Whoop 4.0 and still does not work.,4.33.0,us
54,app_store,13943927277,1,2026-04-10T12:38:33-07:00,"I typically don’t boycott companies, but when you’re pricing things so high, and you’re going after smaller companies when you copied their designs after updates. I’m going to cancel my membership and continue elsewhere with other companies, such as the one that you are suing.",5.47.0,us
55,google_play,ea861dc8-68d5-4048-9c09-940420601a5e,1,2021-02-05T14:15:15,"Unfortunately isn't syncing my activity after I have already started it, finished and saved it. Then if I try to add it, it says I can't write over the activity? Pretty frustrating tossing $30 out the window each month.",4.2.11,us
56,google_play,5c831123-7af8-4a47-b9ec-eb9ed21b4422,2,2025-09-19T23:34:45,"I've been a member for a year now. half with the 4.0 and now with the 5.0 MG. honestly, the only difference is the battery. I have atrial fibrillation and it has detected zero incidents. which is not believable, because I follow up with my doctor and take certain medicine. so it's basically useless. and even doesn't detect my 1+ hour naps... it's actually making me more frustrated! and paid a lot for the MG membership and I do not see any benefits. I even have to put my blood pressure data. lol",5.417.0,us
57,app_store,13957630088,4,2026-04-14T09:50:07-07:00,"Сделайте поддержку русского языка, очень тяжело со словарём сидеть и переводить. ИИ ДОСТАТОЧНО  легко может ПЕРЕВЕСТИ",5.48.0,us
58,google_play,b63a098a-ae96-4eda-8a00-8e5ef5d21f42,5,2026-01-22T03:25:05,very user friendly. great tool for fitness and health enthusiasts,5.432.1,us
59,app_store,14306408009,3,2026-07-15T07:36:18-07:00,Great product! Keeps me informed on key health issues!,5.61.0,us
60,google_play,5e526ee4-0e68-4c44-aeb2-74838020a40d,1,2024-05-14T15:00:05,"OMG DO NOT BUY THIS PRODUCT. IMPOSSIBLE TO GET COSTOMER SUPPORT, SEND WRONG BANDS, CHARGES A FULL YEAR INSTANTLY AFTER THE FREE TRIAL. BAND HAS BEEN BROKEN WEEKS AND COSTOMER SERVICE WONT GET BACK TO ME",4.151.1,us
61,app_store,14104521286,4,2026-05-25T07:17:23-07:00,"WHOOP is easily the best hardware in the market. It just sits on your wrist and silently collects data for about a week without a charge – perfect. 

BUT it’s designed for one audience - pro athletes.  They don’t offer different workflows for wellness or health tracking, and that’s incredibly limiting.

The dashboard delivers a daily verdict that can feel harsh if you’re managing a chronic health issue (if you’re on heart medication that impacts HRV for example). 

If you can look past the dashboards, the underlying data is incredible. On a personal level, it’s been transformative but it’s difficult to access. WHOOP only syncs a narrow set of fields to Apple health, so it’s difficult to share data with my provider or with AI tools like Claude for deeper insights. 

I understand the goal is to keep the user within the WHOOP ecosystem, but the embedded AI tool isn’t useful. It can’t connect to external resources or support uploaded documents for ongoing reference – it can only surface basic responses to the dashboard.  I’m also not interested in paying for health tests and bloodwork when they’re covered under my health insurance policy through my provider, I can’t imagine most people are….",5.53.0,us
62,google_play,9a8c0733-516d-42f7-8233-93b6e6f2a86e,5,2026-03-30T00:01:51,it gives me almost everything I need as a professional footballer. I'm happy with it,5.443.0,us
63,google_play,c666f3f5-7d51-4f03-9a35-5f875c88d9ca,5,2026-06-09T22:30:12,The recent AI coach upgrade is excellent,5.454.0,us
64,google_play,5e982b17-5a22-4292-951a-fa99875c92c6,3,2019-02-26T02:59:18,"Review for Android app only bc I LOVE my Whoop! 3 stars only because I have the iOS version on my iPad and it is in fact much better. Also, there's a glitch that prompts you to enter information about how you felt when you woke up over and over again, whenever you click the recovery tab. Eventually I hit skip because it's really annoying. Also, they should add a feature for women to log their cycles, which can heavily affect athletic performance and recommended output.",1.1.8-5,us
65,google_play,569d7d67-d31b-4423-9865-c9c6fb51c064,2,2020-03-29T18:36:36,"The app crashes with recent update. Uninstall, restart and install with change of permissions is unsuccessful",3.4.3,us
66,app_store,14176482757,5,2026-06-12T21:33:12-07:00,"I’ve worn Whoop every day since January 2021, and the streak isn’t the prize. The collected data is. It’s completely reshaped how I train, sleep, and recover after running, lifting, basketball, swimming, tennis, or hiking. Even my family and friends ask, “Are you in the green today?” It also logged my heat adaptation and performance in extreme temperatures. (I might be powered by the Earth’s yellow sun.)

Plenty of trackers will give you numbers. This is the only one that’s actually changed what I do with them.",5.56.0,us
67,google_play,b905a046-078f-4cec-97f8-774a78a4959a,2,2021-10-05T02:34:02,"Ever since the last update to the strap, the battery onl last about a day and a half to 2 days, previously lasting about a week. Not tracking strain accurately. Multiple days with over 18-20 strain, stating I've only hit 7-8",4.16.0,us
68,google_play,4e00bb4c-68bb-4728-8146-b6b1546f8f67,5,2021-07-04T06:28:03,Great insight if you are training hard.,4.4.18,us
69,google_play,c0f53c9b-ae88-436f-b5a2-eaad3b87070f,4,2026-04-02T13:28:46,I love everything about my whoop. One star off because my goodness... I see all these chat notifications for the communities I'm in but I don't get to see them in the chat when I open the app. 😢,5.445.0,us
70,app_store,13986569227,3,2026-04-22T15:09:37-07:00,Often gets distances very incorrect.,5.49.2,us
71,google_play,f650fabe-2c2c-4d43-875b-d241cd8bdca6,3,2022-04-10T16:55:18,"I like amazon halo better, halo is cheaper too for the same thing. And there's no rubber band options, I got a rash because of the cloth bands. Whoop is great if you wear it for a few hours, and whoop is slightly more accurate than Halo but... Halo I wear it 24/7, sleep, work, shower with it, I can't do that with whoop or I'll get an infection.",4.43.0,us
72,google_play,3f639d7d-024c-4881-b507-bce51e0852ca,4,2021-02-08T09:25:46,"Great experience so far, but I would love if my Whoop data was able to be integrated with Google Fit. Any plans for this on the roadmap?",4.2.12,us
73,google_play,1ad1681a-9bec-4e8e-8955-89440db1fa9d,5,2026-05-13T21:50:40,really feeling improving in all aspects of healthy life style,5.450.1,us
74,google_play,0d446ca5-35b3-4ee8-8781-75deac004eee,1,2026-05-25T04:09:22,overall disappointing value and not something I recommend based on my experience,,us
75,google_play,1b1400ea-7ef0-4d1e-b786-d1b529964353,2,2021-11-09T04:24:57,"Connectivity issues are horrible, especially for the cost of this service. Data feels random and inefficient. I've had good days where it tells me I slept horrible and bad days where it tells me I slept great. As time goes off and it builds better averages it gets better, but very debatable if it's worth the expensive subscription price.",4.21.0,us
76,google_play,46054602-b1dd-4f0e-92e4-1efb9814e5b5,1,2026-04-28T18:02:41,new way to steal money,,us
77,google_play,59792f62-4b7e-45ab-a32f-16bd0e28088e,1,2025-12-03T04:24:53,"Whoop MG device failed after 6 weeks, the AI support is appalling, and now I'm left with a device that doesn't work and a subscription that is 2 years prepaid with no way to speak to a human. even cancelling doesn't refund the unused subscription... garbage device and support. this feels like a scam tbh. avoid at all costs.",5.427.1,us
78,app_store,13478711002,2,2025-12-05T10:17:01-07:00,"There’s an inability to upgrade individual devices in the family plan. Whoop wants you to cancel the family plan, upgrade the device on the individual account, and then get on a new family plan. Doing this, you lose a ton of membership time and pay for multiple plans in a year. Fitness wise, it’s great but expensive.",5.31.0,us
79,google_play,da18241b-94fb-4530-9418-3fac58fd27a0,5,2024-07-21T03:59:40,"This app stops working, and I have to uninstall and reinstall. Very inconvenient. Probably at least every two weeks. Data is still there.",4.161.0,us
80,google_play,3df83135-f539-42e0-be64-b841a5e00401,1,2026-07-15T16:52:14,Whoop is a waste of money!,5.459.0,us
81,google_play,36a4de6f-8626-4d95-b83f-9f9e15d4bc4d,3,2026-01-04T11:25:52,"It's great for what it is , but it could be a thousand times better. I think they're too focused on a very select group of info and they give it too much weight",5.430.0,us
82,app_store,14048626930,2,2026-05-10T04:33:19-07:00,"I have both a new apple watch and a new whoop, so I can compare them. Whoop is great for sleep and recovery due to its long-lasting battery. The Apple watch, with its 1-day battery, is not usable since you need to charge it every night.  Whoop has accurately validated its model for determining heart in steady state situations like running and sleeping.  

But it’s model is not satisfactory for strength training.  I have done tests where I do an intense lifting set that brings me to a high heart rate (145bpm) where i am breathing rapidly and then slowly my heart rate decreases over 3 minutes to 95 bpm. the apple watch correctly follows the trend. the whoop instead stays at 95bpm this whole time.  This is because it is using a conservative algorithm for recording only “good heart beats”.  When strength training, the heart beats do not match its criteria, and it reverts to its previous measurements before the lifting started.  This is not satisfactory.  You would think if you are doing a “strength training session” in whoop, it would adjust and allow for large heart rate changes.  But this apparently is not a priority for them.",5.51.0,us
83,google_play,f0d031a1-d0dd-4ab5-a84a-3ae4b0f1a244,2,2026-04-03T13:02:37,"nagivating through the app is confusing, and it tries to upsell you constantly to the higher-priced whoop subscription. the community chat feature doesn't work reliably, oftentimes incoming messages will appear in the phone notifications but the messages aren't visible at all when inside the app.",5.445.0,us
84,app_store,14137055897,2,2026-06-02T16:39:51-07:00,"I should’ve read more keenly. The free trial leaves off the very features you’d want to trial, ESPECIALLY if you already have an Apple Watch. I can’t trial the features I’d be using so 2 stars.",5.55.0,us
85,google_play,7516e710-f0b1-4383-b100-d9ae43cfa4d6,2,2023-04-30T06:49:14,"Not accurate. I've been wearing with a Polar chest belt. Whoop heart rate monitoring is way off. When I feel rested it tells me not to overstrain and when I feel exausted or overtrained, it tells me to keep training. Total joke. I will not be renewing.",4.95.0,us
86,google_play,4d90ede9-25ea-44e8-8265-beaa7ee003ae,5,2020-03-29T20:24:17,Love my Whoop! Been crushing workout and sleeping better!,3.4.4,us
87,google_play,f7aad4f1-3913-4363-93ed-90ed08771cf7,5,2021-03-12T00:32:47,What a refreshing app experience,4.3.4,us
88,app_store,14331942366,1,2026-07-21T14:50:37-07:00,Just too expensive for what it is,5.62.0,us
89,google_play,5a4300df-a738-41c1-acd1-f8fa2a9265d3,4,2022-01-10T22:27:22,"3.0 was excellent. Love the features added in 4.0 but unfortunately there are some bugs with it as well. Activities track but then disappear for hours at a time and don't let me start another activity...then reaper later. Overall great, but needs a few issues ironed out.",4.30.0,us
90,google_play,939cd5ee-29d3-49dd-b2cd-3ca090f77130,2,2022-09-14T03:01:32,"Product works well, but customer service is horrid. Reached out for replacement as I lost my 4.0 and battery pack, paid $180 and just now received only the strap. Now I have to pay an additional $50 for the battery pack. I have to take some blame though I guess, I felt like during our conversation the rep wasn't really listening to what I said as I had to repeatedly ask the same questions over and over before getting a clear answer.",4.65.0,us
91,app_store,14134663946,2,2026-06-02T03:29:13-07:00,Extremely over rated metrics for price different wearable brands have not only a lot more freedom what they can be connected to as well as no subscription,5.54.0,us
92,app_store,13925810664,3,2026-04-05T09:55:53-07:00,It’s a pretty good health tracker app. The only annoying thing is that they spam you with ads to upgrade in every page. I don’t want to upgrade. Get rid of the ads and you’ll have more space to show more details on the tabs people choose to track. I don’t want to have to click on a tab to take me to the stats. I want it shown on the homepage,5.46.1,us
93,google_play,069ef754-f0cb-4646-a8dd-7fc32ce18431,1,2024-12-23T15:32:13,"Got my Whoop on the 20th of December as part of a family membership, which included three users. I am the only Android user and the whoop since day1 is not reading any data on my app. It can only read the battery, HR when i start activity but thats it - zero readings across - not syncing anything whatsoever, Last sync date N/A. Tried every troubleshooting mentioned online. Tried reaching anything with the support team and it seems like they can't do anything about the issue. Super frustrated",4.184.1,us
94,google_play,2c672d9c-5398-4265-9c64-317227b69f29,3,2025-06-26T03:49:15,"Few bugs, few missing features, generally OK",5.403.0,us
95,app_store,14007558814,3,2026-04-28T17:43:32-07:00,"It’s great when it works but every couple of months it randomly doesn’t sync up. Nearly impossible to fix. Today is April 28th and the app says it’s April 25th. I’ve unpaired. Rebooted, deleted, turned off, etc. and still says 25th. Honestly, just get an Apple watch.",5.50.0,us
96,google_play,72bc7437-43fc-4ef9-968e-e6cae07cea63,3,2023-11-26T12:27:36,App lacks Bluetooth connection intelligence,4.127.0,us
97,google_play,cd296660-3efd-4ca9-872d-3a5d77fcfd5f,2,2025-11-09T12:23:03,Good. But No Arabic language support. which make it useless for non-english speakers.,5.425.0,us
98,google_play,bf6dba1a-a881-459c-84ce-0a4fc9efae61,4,2026-05-14T16:39:08,"I have samsung fold and the app often needs me either to open the fold to resize or does not cooperate and I have to restart app to continue. I have updated the app many times, I do not believe development has created a fix for this in mobile view for either screen. very basic just like a website that is in full desktop browser layout being viewed on a smartphone(not in mobile version) it does not look right or operate to its full capacity.",5.451.0,us
99,google_play,783361e1-e642-476a-8476-9393bd3dc95c,1,2025-01-31T04:18:21,"They send me a defective Whoop Device. I contacted customer service 3 weeks ago. I still haven't received any support. My issue hast not been resolved in any way. If u read this before you order your membership: don't do it! This is a marketing company, but their actual product is a rip off!",4.190.0,us
100,google_play,b7d92c93-39de-449d-862c-b3a835ab72d5,4,2020-03-29T19:22:03,Have loved using the app especially for the sleep component. Had to reinstall about 3 months into using.,3.4.3,us
101,google_play,0d6893a0-54ac-45d0-a898-6d80b6de68da,3,2023-03-17T13:42:06,"The new UI is a hot mess. Way too much packed on every screen. I'm not sure what's what, I can't find what I'm looking for, and I don't even want to use it now. The data screens are also now unclear. The charts are way too detailed for a mobile app. Make a desktop app for the human who needs to see every damn data point.",4.89.0,us
102,app_store,13535504172,2,2025-12-20T08:55:14-07:00,"Recently upgraded from 4.0 to MG. MG feels cheaply made, the bands don’t seem to fit securely and already can’t get a two week old silicone band to clasp securely. Another company ruining their product chasing margins",5.33.0,us
103,app_store,13926909853,1,2026-04-05T17:18:13-07:00,"This app freezes on iPhone 17 pro, makes terrible assumptions, and isn’t even usable until you’ve worn the whoop for 10 days. Ridiculous",5.46.1,us
104,app_store,14169012660,5,2026-06-11T00:48:06-07:00,"I feel bad for my Whoop coach Austin, the dude is relentless though I’ll give him that",5.56.0,us
105,google_play,7447229a-684c-48d3-b662-662709e93a04,4,2026-01-20T03:40:46,Share health report is currently broken on Pixel 10 Pro XL. Exit and share UI elements are off screen and can't be touched.,5.432.1,us
106,google_play,9739dec3-55ce-4050-a456-59ef4e620715,3,2023-10-13T22:32:54,It tells heart rate well and tracks my sleep how I feel. One main thing I used to like was how my monthly PA was in my monthly log. I can see what days I did a workout and how my sleep looked. I could see when I took melatonin and how my sleep was. Now it only has a tab in the app telling me how many times in the past 90 days I did these things. How does this help me if I can't track it. Put it back in the weekly and monthly stats.,4.122.0,us
107,app_store,14340899811,2,2026-07-23T20:22:24-07:00,We love WHOOP but we need more update. It’s not giving us everything and there is no Arabic language.,5.62.0,us
108,app_store,14262477583,5,2026-07-04T08:22:00-07:00,There seems to be a problem with the Heart Rate screen where it appears beyond screen and not readable,5.59.0,us
109,google_play,7a61b982-91c5-4cc4-b6e4-cae96289d764,2,2020-08-31T16:11:15,"I've used this product for over a year now...y thoughts are that the band is great, but the app is trash. It's clearly optimized for IOS over Android... Several times I have had to borrow an iPhone in order to achieve a firmware update or sync back my device... For a premium product their Android app is anything but...",3.5.16,us
110,google_play,0511609d-c1e4-489a-90cf-030c486c41e6,4,2020-11-09T14:21:12,Pls add inline skating 🥺🥺🥺🥺,4.1.2,us
111,google_play,4fe1b9c6-a728-4fa1-9d11-c046cb11d9f6,5,2021-11-28T01:12:02,"Excellent! Take your time with Whoop, it needs to get to know you before you can really benefit from it. Many people don't get it because it is not for them. If you are active and want to remain that way and also improve yourself, Whoop is the perfect tool.",4.23.1,us
112,google_play,1dc8af75-1460-4720-8ff3-23c67f454c77,2,2021-02-01T10:17:54,After last update phone and strap will not connect and auggestions aren't helping. Not getting a new phone just b.c. of connection issues ... worked fine before.,4.2.11,us
