sample_id,source,rating,date,tags,tag_count,text
11,google_play,3,2023-09-01T04:35:24,SY.disconnect;AS.crash,2,"Long time user. The application has become increasingly buggy; occasionally having to re-pair and very, very laggy."
12,app_store,4,2026-07-31T08:53:04-07:00,OTHER_UNGROUPED,0,This is one of the best health monitoring devices I have used
13,google_play,1,2026-06-19T08:02:09,HW.strap;CS.resolution,2,"Defective Clasp, Poor Warranty Support. New WHOOP member and very disappointed. The clasp/retention mechanism on my device failed during normal wear at an airport, causing the sensor to detach and become lost. I contacted WHOOP and explained that this was caused by defective hardware, not misuse or carelessness, but they refused to replace it and treated it as a simple lost item. For a premium subscription product, the warranty and customer support experience has been extremely disappointing."
14,app_store,3,2025-12-29T11:47:41-07:00,UX.feature,1,Scrolling in the strength trainer doesn’t work and is extremely frustrating to use. Very annoying experience trying to get muscular load captured. Please fix soon!
15,google_play,4,2024-01-07T13:17:51,FR.activity;DA.accuracy,2,"Very well done app overall. There's no calisthenics activity option. Cardio data not as accurate as chest strap devices (eg, Wahoo)."
16,google_play,5,2024-03-29T03:39:30,OTHER_UNGROUPED,0,5 out of 5 stars.
17,google_play,2,2024-03-13T01:23:43,SY.datasync;FR.metrics,2,"Whoop service&insights are great, but app has major nuisances & flaws: 1) App completely stops working when offline! I should be able to navigate the app & see my data when offline. 2) I should be able to add journal entries as they happen (during current day). It's hard to remember when & what I did yesterday; 3) Each journal item should have its own button ""use yesterday's value X"" (Not just apply ALL yesterday's values to ALL items) 4) I should be able to see past blood oxygen levels (chart)"
18,app_store,1,2026-07-01T06:30:46-07:00,PB.value,1,I will NOT renew this next year! Blatant rip off!
19,google_play,2,2021-12-08T11:58:04,SY.disconnect;CS.responsive,2,Recently whoop band disconnents regularly from mobile device. Whoop unable to provide work around and I am waiting approx 12-16weeks for the whoop 4 to be delivered
20,google_play,1,2021-10-16T06:57:02,ST.accuracy;SY.disconnect;CS.resolution,3,"The sleep data is completely random. I get up during the night and it might call it REM sleep, maybe deep sleep, who knows. If I forget to end sleep in the morning it randomly assigns some sleep stage to my breakfast. The band used to stay paired to my phone, now if I walk away from the phone for one minute, it unpairs and won't re-pair until I uninstall and reinstall the app. Customer support just gives me cut and paste responses."
21,google_play,2,2018-04-13T07:16:35,PP.gaps,1,"Just switched from iOS and while almost every other app is improved on 
Android this app just misses the mark in comparison. I just don't 
understand why the functionality isn't identical across platforms. I'm 
finding the whoop less useful without the charts I'm used to from iOS"
22,app_store,1,2026-04-08T10:43:22-07:00,PB.billing,1,"I’m writing this on behalf of my 16-year-old son, whose account I manage.
This has been an extremely frustrating and disappointing experience with WHOOP, and it raises serious concerns about how they handle billing and customer communication.
An expiration date was added to the account without authorization, which resulted in a charge we did not approve.
After contacting support, I received written confirmation that the membership would be canceled and that a refund would be issued. I was then told the refund could not be processed unless I withdrew my dispute with the debit card company.
Based on that direction, I withdrew the dispute in good faith so WHOOP could issue the promised refund. As expected, once the dispute was withdrawn, the debit card company ruled in WHOOP’s favor.
After I informed WHOOP that I had done exactly what they asked, I was then told they could not issue the refund because of the debit card company’s ruling.
So to be clear: A refund was promised → I was instructed to remove the dispute → I complied in good faith → and then the refund was denied anyway.
That is not just frustrating, it is completely unacceptable. I relied on their written communication, and their position changed the moment it benefited them.
At this point, I am still requesting that WHOOP honor the refund they explicitly committed to.
Until this is resolved, I would strongly caution others to be very careful when dealing with their billing practices and dispute process."
23,app_store,3,2026-05-04T07:44:51-07:00,LOC.missing,1,I hope the Chinese version will be available as soon as possible.
24,google_play,2,2020-07-12T17:41:18,DA.accuracy;PB.value,2,"Pretty cool to track your recovery, strain, HRV, but overall I don't think it's very accurate and is too exoensive. Especially not accurate enough for $30/month. Why not just buy something higher end?"
25,google_play,5,2024-04-16T19:56:56,CS.positive,1,"Nothing but great experience and customer service. Had it for 5 years now, or more"
26,app_store,5,2026-07-31T10:03:24-07:00,OTHER_UNGROUPED,0,Whoop has made me stronger and healthier than ever
27,google_play,4,2022-08-09T12:23:38,HW.comfort;ST.accuracy;SY.datasync;FR.metrics,4,"Overall great. Pros/cons of app & hardware: +comfortable +looks great +battery & charger! +worn above bicep, 95% accurate during exercise! +great UI +great customer service +frequent updates/improvent -ability to distinguish sleep stages is terrible, like *every* other wearable today -data processing only happens on server which adds long delays (20m) before you can see report after an activity -only works while online, doesn't seem to even cache data -no airplane mode on band"
28,google_play,4,2026-04-01T04:07:46,HW.quality;CS.resolution,2,device is cheap but app is very strong. Customer service is very challenging.
29,app_store,3,2026-07-10T11:00:17-07:00,DA.accuracy,1,Cool data but I struggle to make it actionable. It does a great job tracking sleep but over counts steps and seems to be off on things like BMR. I’ll likely go back to Apple Watch. It has its challenges too but is paid for…
30,app_store,5,2026-07-19T05:49:27-07:00,OTHER_UNGROUPED,0,"Absolutely love the whoop! Tracks everything you can imagine, graphs it all and makes it accessible in a way that allows you to make decisions daily on how to approach the day on a way that supports health and longevity!"
31,google_play,4,2023-08-09T10:12:07,OTHER_UNGROUPED,0,Great app with lots of useful data collected and analyzed!
32,google_play,5,2026-04-06T18:20:08,ST.satisfaction,1,it really help me to track my sleep consistency
33,app_store,3,2026-03-31T10:17:27-07:00,AS.crash,1,Seems to be getting unreliable and not updating properly   If you are trying to get us to upgrade - all you will achieve is subscription cancellation
34,app_store,1,2026-06-23T05:45:12-07:00,AI.autonomy;CS.ai_only_support_channel;PB.value,3,"I like the band but I hate how bad the AI coach is and that you can’t disable it. Every time I’ve tried to turn it off, following their instructions, it seems to turn back on. And customer support is entirely AI: AI emails, AI chat. For $350 a year this is laughable. I wish I got a $99 Fitbit air instead."
35,google_play,1,2023-12-05T12:35:58,PB.billing,1,"Be very careful before you commit, sent them a letter through my lawyer to stop charging my account. They never responded, 12 months of $30+tax is not worth this device."
36,google_play,5,2020-11-16T10:38:17,FR.metrics,1,Amazing software. Would be nice to see body temp fluctuations as well.
37,app_store,1,2026-01-11T09:49:51-07:00,SY.onboarding;PB.billing,2,Absolutely garbage app. Can’t even connect my whoop to my new iphone 17 pro max. I paid for the whole year but its not letting me connect to my account keeps bringing me to pay screen. Broke my streak of 181 days. Do not recommend. I want a refund.
38,google_play,1,2024-01-06T19:03:22,SY.onboarding,1,Wouldn't pair with the device and Wouldn't let me get to my account to change settings. First time I've ever had this kind of trouble with a Bluetooth device.
39,google_play,4,2025-04-05T02:02:24,LOC.missing,1,"Было бы не плохо, если бы добавили русский язык"
40,google_play,4,2020-07-06T19:14:11,ST.accuracy,1,"It doea everything it advertises and more. The only qualm i have is that i work a midnight shift so the app gets a bit buggy when calculating sleep and workouts for the ""day""."
41,google_play,1,2022-12-27T20:14:14,AS.update;CS.responsive,2,Firmware glitches out around 80pct update. No response from support when contacted.
42,google_play,2,2019-09-30T13:49:09,HW.comfort;PP.gaps;PB.value,3,It's allot thicker than it looks online. I find it irritating to sleep with. The android app isn't as good as the iPhone app. And the fact you have to keep paying every month and never really own it like any other fitness tracker makes me give it 2 stars. Fun gimmick. That's all.
43,app_store,1,2026-06-25T21:23:04-07:00,DA.accuracy;HW.battery,2,WHOOP is unable to keep track of consistent and accurate data.  Battery life is unreliable
44,google_play,3,2020-07-01T01:35:13,AS.crash,1,The app was great when I first got it. Have had it for about 5 to 6 months. In the last month it has been acting weird with logging data. I know the data is still logging but viewing it especially when logging a workout has gotten troublesome....trying to figure out bugs.
45,app_store,4,2026-07-21T10:09:47-07:00,UX.feature,1,"Genuinely incredible. But please improve the strength trainer UI!! It really needs some work, and the exercise catalog there"
46,app_store,2,2026-03-09T06:54:44-07:00,HW.quality;SY.datasync;PB.value,3,"Coming from the Garmin world and got this for free through Chase Sapphire. Figured I’d try it. Man, it sucks. Brittle, cheap hardware. A cluttered app that takes forever to sync. Worst of all, the subscription model."
47,google_play,4,2019-04-12T03:31:04,SY.datasync,1,"is there an update to the app that I somehow missed? it's been real slow, I'm pretty sure it's not counting everything and it no longer asks me for sleep input half the time. takes at least an hour to process anything."
48,google_play,5,2026-01-13T00:44:00,OTHER_UNGROUPED,0,Best purchase ever. Life changing/organising !
49,app_store,5,2026-06-24T07:55:47-07:00,OTHER_UNGROUPED,0,I can’t go without it.
50,app_store,1,2026-02-20T19:13:52-07:00,PB.value;DA.accuracy,2,Would not recommended. Product is underdeveloped. Data is not as accurate as anticipated. Use for 2-3 months  (max) then move on.
51,app_store,5,2026-08-03T08:34:12-07:00,OTHER_UNGROUPED,0,It provides feedback and keeps me accountable.
52,app_store,4,2026-05-18T15:08:25-07:00,AI.positive;UX.feature;FR.activity,3,"Great app overall. I recently rejoined after a break and think the AI integration is really well done.

One frustrating bug to report - when you search for activities for an activity, the only way to select an activity type is from the main/All tab - it doesn’t allow you to select an activity in the other tabs like ‘Recovery’. 

Additionally, it only shows 5 most frequent / most recent activities. It should allow the user to favorite activities.

Thanks!"
53,google_play,1,2022-01-27T21:58:03,SY.onboarding,1,Will not pair with device. Waited 3 months for this Whoop 4.0 and still does not work.
54,app_store,1,2026-04-10T12:38:33-07:00,PB.value,1,"I typically don’t boycott companies, but when you’re pricing things so high, and you’re going after smaller companies when you copied their designs after updates. I’m going to cancel my membership and continue elsewhere with other companies, such as the one that you are suing."
55,google_play,1,2021-02-05T14:15:15,SY.datasync;PB.value,2,"Unfortunately isn't syncing my activity after I have already started it, finished and saved it. Then if I try to add it, it says I can't write over the activity? Pretty frustrating tossing $30 out the window each month."
56,google_play,2,2025-09-19T23:34:45,HS.cardiac;ST.accuracy;PB.value;FR.metrics,4,"I've been a member for a year now. half with the 4.0 and now with the 5.0 MG. honestly, the only difference is the battery. I have atrial fibrillation and it has detected zero incidents. which is not believable, because I follow up with my doctor and take certain medicine. so it's basically useless. and even doesn't detect my 1+ hour naps... it's actually making me more frustrated! and paid a lot for the MG membership and I do not see any benefits. I even have to put my blood pressure data. lol"
57,app_store,4,2026-04-14T09:50:07-07:00,LOC.jargon,1,"Сделайте поддержку русского языка, очень тяжело со словарём сидеть и переводить. ИИ ДОСТАТОЧНО  легко может ПЕРЕВЕСТИ"
58,google_play,5,2026-01-22T03:25:05,OTHER_UNGROUPED,0,very user friendly. great tool for fitness and health enthusiasts
59,app_store,3,2026-07-15T07:36:18-07:00,OTHER_UNGROUPED,0,Great product! Keeps me informed on key health issues!
60,google_play,1,2024-05-14T15:00:05,PB.billing;HW.strap;CS.resolution,3,"OMG DO NOT BUY THIS PRODUCT. IMPOSSIBLE TO GET COSTOMER SUPPORT, SEND WRONG BANDS, CHARGES A FULL YEAR INSTANTLY AFTER THE FREE TRIAL. BAND HAS BEEN BROKEN WEEKS AND COSTOMER SERVICE WONT GET BACK TO ME"
61,app_store,4,2026-05-25T07:17:23-07:00,FR.personalization;FR.integration;AI.bugs;PB.upsell,4,"WHOOP is easily the best hardware in the market. It just sits on your wrist and silently collects data for about a week without a charge – perfect. 

BUT it’s designed for one audience - pro athletes.  They don’t offer different workflows for wellness or health tracking, and that’s incredibly limiting.

The dashboard delivers a daily verdict that can feel harsh if you’re managing a chronic health issue (if you’re on heart medication that impacts HRV for example). 

If you can look past the dashboards, the underlying data is incredible. On a personal level, it’s been transformative but it’s difficult to access. WHOOP only syncs a narrow set of fields to Apple health, so it’s difficult to share data with my provider or with AI tools like Claude for deeper insights. 

I understand the goal is to keep the user within the WHOOP ecosystem, but the embedded AI tool isn’t useful. It can’t connect to external resources or support uploaded documents for ongoing reference – it can only surface basic responses to the dashboard.  I’m also not interested in paying for health tests and bloodwork when they’re covered under my health insurance policy through my provider, I can’t imagine most people are…."
62,google_play,5,2026-03-30T00:01:51,FR.personalization,1,it gives me almost everything I need as a professional footballer. I'm happy with it
63,google_play,5,2026-06-09T22:30:12,AI.positive,1,The recent AI coach upgrade is excellent
64,google_play,3,2019-02-26T02:59:18,PP.gaps;UX.feature;FR.personalization,3,"Review for Android app only bc I LOVE my Whoop! 3 stars only because I have the iOS version on my iPad and it is in fact much better. Also, there's a glitch that prompts you to enter information about how you felt when you woke up over and over again, whenever you click the recovery tab. Eventually I hit skip because it's really annoying. Also, they should add a feature for women to log their cycles, which can heavily affect athletic performance and recommended output."
65,google_play,2,2020-03-29T18:36:36,AS.crash,1,"The app crashes with recent update. Uninstall, restart and install with change of permissions is unsuccessful"
66,app_store,5,2026-06-12T21:33:12-07:00,OTHER_UNGROUPED,0,"I’ve worn Whoop every day since January 2021, and the streak isn’t the prize. The collected data is. It’s completely reshaped how I train, sleep, and recover after running, lifting, basketball, swimming, tennis, or hiking. Even my family and friends ask, “Are you in the green today?” It also logged my heat adaptation and performance in extreme temperatures. (I might be powered by the Earth’s yellow sun.)

Plenty of trackers will give you numbers. This is the only one that’s actually changed what I do with them."
67,google_play,2,2021-10-05T02:34:02,HW.battery;DA.accuracy,2,"Ever since the last update to the strap, the battery onl last about a day and a half to 2 days, previously lasting about a week. Not tracking strain accurately. Multiple days with over 18-20 strain, stating I've only hit 7-8"
68,google_play,5,2021-07-04T06:28:03,FR.personalization,1,Great insight if you are training hard.
69,google_play,4,2026-04-02T13:28:46,UX.notif,1,I love everything about my whoop. One star off because my goodness... I see all these chat notifications for the communities I'm in but I don't get to see them in the chat when I open the app. 😢
70,app_store,3,2026-04-22T15:09:37-07:00,DA.accuracy,1,Often gets distances very incorrect.
71,google_play,3,2022-04-10T16:55:18,HW.comfort;PB.value;DA.accuracy,3,"I like amazon halo better, halo is cheaper too for the same thing. And there's no rubber band options, I got a rash because of the cloth bands. Whoop is great if you wear it for a few hours, and whoop is slightly more accurate than Halo but... Halo I wear it 24/7, sleep, work, shower with it, I can't do that with whoop or I'll get an infection."
72,google_play,4,2021-02-08T09:25:46,FR.integration,1,"Great experience so far, but I would love if my Whoop data was able to be integrated with Google Fit. Any plans for this on the roadmap?"
73,google_play,5,2026-05-13T21:50:40,OTHER_UNGROUPED,0,really feeling improving in all aspects of healthy life style
74,google_play,1,2026-05-25T04:09:22,PB.value,1,overall disappointing value and not something I recommend based on my experience
75,google_play,2,2021-11-09T04:24:57,SY.disconnect;DA.accuracy;PB.value,3,"Connectivity issues are horrible, especially for the cost of this service. Data feels random and inefficient. I've had good days where it tells me I slept horrible and bad days where it tells me I slept great. As time goes off and it builds better averages it gets better, but very debatable if it's worth the expensive subscription price."
76,google_play,1,2026-04-28T18:02:41,PB.billing,1,new way to steal money
77,google_play,1,2025-12-03T04:24:53,HW.strap;CS.ai_only_support_channel;PB.billing,3,"Whoop MG device failed after 6 weeks, the AI support is appalling, and now I'm left with a device that doesn't work and a subscription that is 2 years prepaid with no way to speak to a human. even cancelling doesn't refund the unused subscription... garbage device and support. this feels like a scam tbh. avoid at all costs."
78,app_store,2,2025-12-05T10:17:01-07:00,PB.plan,1,"There’s an inability to upgrade individual devices in the family plan. Whoop wants you to cancel the family plan, upgrade the device on the individual account, and then get on a new family plan. Doing this, you lose a ton of membership time and pay for multiple plans in a year. Fitness wise, it’s great but expensive."
79,google_play,5,2024-07-21T03:59:40,AS.crash,1,"This app stops working, and I have to uninstall and reinstall. Very inconvenient. Probably at least every two weeks. Data is still there."
80,google_play,1,2026-07-15T16:52:14,PB.value,1,Whoop is a waste of money!
81,google_play,3,2026-01-04T11:25:52,FR.personalization,1,"It's great for what it is , but it could be a thousand times better. I think they're too focused on a very select group of info and they give it too much weight"
82,app_store,2,2026-05-10T04:33:19-07:00,DA.accuracy;HW.battery,2,"I have both a new apple watch and a new whoop, so I can compare them. Whoop is great for sleep and recovery due to its long-lasting battery. The Apple watch, with its 1-day battery, is not usable since you need to charge it every night.  Whoop has accurately validated its model for determining heart in steady state situations like running and sleeping.  

But it’s model is not satisfactory for strength training.  I have done tests where I do an intense lifting set that brings me to a high heart rate (145bpm) where i am breathing rapidly and then slowly my heart rate decreases over 3 minutes to 95 bpm. the apple watch correctly follows the trend. the whoop instead stays at 95bpm this whole time.  This is because it is using a conservative algorithm for recording only “good heart beats”.  When strength training, the heart beats do not match its criteria, and it reverts to its previous measurements before the lifting started.  This is not satisfactory.  You would think if you are doing a “strength training session” in whoop, it would adjust and allow for large heart rate changes.  But this apparently is not a priority for them."
83,google_play,2,2026-04-03T13:02:37,UX.redesign;PB.upsell;UX.notif,3,"nagivating through the app is confusing, and it tries to upsell you constantly to the higher-priced whoop subscription. the community chat feature doesn't work reliably, oftentimes incoming messages will appear in the phone notifications but the messages aren't visible at all when inside the app."
84,app_store,2,2026-06-02T16:39:51-07:00,PB.plan,1,"I should’ve read more keenly. The free trial leaves off the very features you’d want to trial, ESPECIALLY if you already have an Apple Watch. I can’t trial the features I’d be using so 2 stars."
85,google_play,2,2023-04-30T06:49:14,DA.accuracy,1,"Not accurate. I've been wearing with a Polar chest belt. Whoop heart rate monitoring is way off. When I feel rested it tells me not to overstrain and when I feel exausted or overtrained, it tells me to keep training. Total joke. I will not be renewing."
86,google_play,5,2020-03-29T20:24:17,OTHER_UNGROUPED,0,Love my Whoop! Been crushing workout and sleeping better!
87,google_play,5,2021-03-12T00:32:47,OTHER_UNGROUPED,0,What a refreshing app experience
88,app_store,1,2026-07-21T14:50:37-07:00,PB.value,1,Just too expensive for what it is
89,google_play,4,2022-01-10T22:27:22,AS.crash,1,"3.0 was excellent. Love the features added in 4.0 but unfortunately there are some bugs with it as well. Activities track but then disappear for hours at a time and don't let me start another activity...then reaper later. Overall great, but needs a few issues ironed out."
90,google_play,2,2022-09-14T03:01:32,CS.resolution;PB.billing,2,"Product works well, but customer service is horrid. Reached out for replacement as I lost my 4.0 and battery pack, paid $180 and just now received only the strap. Now I have to pay an additional $50 for the battery pack. I have to take some blame though I guess, I felt like during our conversation the rep wasn't really listening to what I said as I had to repeatedly ask the same questions over and over before getting a clear answer."
91,app_store,2,2026-06-02T03:29:13-07:00,PB.value;FR.integration,2,Extremely over rated metrics for price different wearable brands have not only a lot more freedom what they can be connected to as well as no subscription
92,app_store,3,2026-04-05T09:55:53-07:00,PB.upsell;UX.redesign,2,It’s a pretty good health tracker app. The only annoying thing is that they spam you with ads to upgrade in every page. I don’t want to upgrade. Get rid of the ads and you’ll have more space to show more details on the tabs people choose to track. I don’t want to have to click on a tab to take me to the stats. I want it shown on the homepage
93,google_play,1,2024-12-23T15:32:13,SY.datasync;CS.responsive,2,"Got my Whoop on the 20th of December as part of a family membership, which included three users. I am the only Android user and the whoop since day1 is not reading any data on my app. It can only read the battery, HR when i start activity but thats it - zero readings across - not syncing anything whatsoever, Last sync date N/A. Tried every troubleshooting mentioned online. Tried reaching anything with the support team and it seems like they can't do anything about the issue. Super frustrated"
94,google_play,3,2025-06-26T03:49:15,OTHER_UNGROUPED,0,"Few bugs, few missing features, generally OK"
95,app_store,3,2026-04-28T17:43:32-07:00,SY.datasync,1,"It’s great when it works but every couple of months it randomly doesn’t sync up. Nearly impossible to fix. Today is April 28th and the app says it’s April 25th. I’ve unpaired. Rebooted, deleted, turned off, etc. and still says 25th. Honestly, just get an Apple watch."
96,google_play,3,2023-11-26T12:27:36,SY.disconnect,1,App lacks Bluetooth connection intelligence
97,google_play,2,2025-11-09T12:23:03,LOC.missing,1,Good. But No Arabic language support. which make it useless for non-english speakers.
98,google_play,4,2026-05-14T16:39:08,UX.device,1,"I have samsung fold and the app often needs me either to open the fold to resize or does not cooperate and I have to restart app to continue. I have updated the app many times, I do not believe development has created a fix for this in mobile view for either screen. very basic just like a website that is in full desktop browser layout being viewed on a smartphone(not in mobile version) it does not look right or operate to its full capacity."
99,google_play,1,2025-01-31T04:18:21,HW.strap;CS.responsive,2,"They send me a defective Whoop Device. I contacted customer service 3 weeks ago. I still haven't received any support. My issue hast not been resolved in any way. If u read this before you order your membership: don't do it! This is a marketing company, but their actual product is a rip off!"
100,google_play,4,2020-03-29T19:22:03,ST.satisfaction;AS.crash,2,Have loved using the app especially for the sleep component. Had to reinstall about 3 months into using.
101,google_play,3,2023-03-17T13:42:06,UX.redesign,1,"The new UI is a hot mess. Way too much packed on every screen. I'm not sure what's what, I can't find what I'm looking for, and I don't even want to use it now. The data screens are also now unclear. The charts are way too detailed for a mobile app. Make a desktop app for the human who needs to see every damn data point."
102,app_store,2,2025-12-20T08:55:14-07:00,HW.quality;HW.strap,2,"Recently upgraded from 4.0 to MG. MG feels cheaply made, the bands don’t seem to fit securely and already can’t get a two week old silicone band to clasp securely. Another company ruining their product chasing margins"
103,app_store,1,2026-04-05T17:18:13-07:00,AS.crash;SY.onboarding,2,"This app freezes on iPhone 17 pro, makes terrible assumptions, and isn’t even usable until you’ve worn the whoop for 10 days. Ridiculous"
104,app_store,5,2026-06-11T00:48:06-07:00,AI.positive,1,"I feel bad for my Whoop coach Austin, the dude is relentless though I’ll give him that"
105,google_play,4,2026-01-20T03:40:46,UX.device,1,Share health report is currently broken on Pixel 10 Pro XL. Exit and share UI elements are off screen and can't be touched.
106,google_play,3,2023-10-13T22:32:54,UX.redesign,1,It tells heart rate well and tracks my sleep how I feel. One main thing I used to like was how my monthly PA was in my monthly log. I can see what days I did a workout and how my sleep looked. I could see when I took melatonin and how my sleep was. Now it only has a tab in the app telling me how many times in the past 90 days I did these things. How does this help me if I can't track it. Put it back in the weekly and monthly stats.
107,app_store,2,2026-07-23T20:22:24-07:00,LOC.missing,1,We love WHOOP but we need more update. It’s not giving us everything and there is no Arabic language.
108,app_store,5,2026-07-04T08:22:00-07:00,UX.device,1,There seems to be a problem with the Heart Rate screen where it appears beyond screen and not readable
109,google_play,2,2020-08-31T16:11:15,PP.gaps;PP.bugs,2,"I've used this product for over a year now...y thoughts are that the band is great, but the app is trash. It's clearly optimized for IOS over Android... Several times I have had to borrow an iPhone in order to achieve a firmware update or sync back my device... For a premium product their Android app is anything but..."
110,google_play,4,2020-11-09T14:21:12,FR.activity,1,Pls add inline skating 🥺🥺🥺🥺
111,google_play,5,2021-11-28T01:12:02,FR.personalization,1,"Excellent! Take your time with Whoop, it needs to get to know you before you can really benefit from it. Many people don't get it because it is not for them. If you are active and want to remain that way and also improve yourself, Whoop is the perfect tool."
112,google_play,2,2021-02-01T10:17:54,SY.disconnect,1,After last update phone and strap will not connect and auggestions aren't helping. Not getting a new phone just b.c. of connection issues ... worked fine before.
113,app_store,2,2026-06-18T23:31:53-07:00,DA.accuracy;CS.resolution;PB.value,3,For a premium price of 359 USD for 1 year I would expect it to measure steps properly. When it kept on giving me drastically different steps count for the same physical distance I questioned the validity of its results given they use that as a factor to calculate whoop age and pace of aging. In return I got their mediocre AI replying that Whoop isn’t good at it. Took me some effort to finally reach an actual person that too via email - but they also tried to put it on the user - asking how  and where am I wearing the band. I wear this thing at the same place every time and the least I expect is consistent and honest results. It is too overpriced to be feeding wrong data and not doing anything to improve it.
114,app_store,3,2026-03-07T10:11:52-07:00,AI.bugs,1,The ai is often unusable. After so much typing it’ll lock up on you and you must close the whole app and start over. Often the keyboard doesn’t retract allowing you to upload your comments to the ai. I’ve had it with this garbage. Now I take screenshots of my stats in whoop and hand them over to ChatGPT. Superior
115,google_play,1,2025-05-21T20:05:20,SY.disconnect,1,changed from ios to android and the app here always has connectivity issues. is a nightmare that my data is always behind and I need to reboot or restart the devices
116,app_store,4,2026-06-08T09:05:50-07:00,UX.notif,1,There are other apps that deal with this aspect more elegantly. Here you have to pause the membership or just not wear the device. Yes but there is nothing in the app to detect the new status. You still get notifications about data being not synced. So now I need to disable notifications.
117,app_store,1,2026-05-17T18:07:11-07:00,FR.personalization,1,I’m a guy and every time I open Whoop it asks me “Menstruating?”. Great app.
118,app_store,1,2026-04-01T15:31:14-07:00,UX.redesign,1,"I love Whoop and what insights it can bring but the big problem I have is the interface. They need to simplify it dramatically or at least change how you can see your insights. Nothing is intuitive. Where you think your insights are, aren’t where they actually are."
119,google_play,5,2020-10-24T16:57:41,HW.comfort;CS.positive,2,Sleek and really low profile on your wrist. Customers service is absolutely amazing! They answered my emails within 5 minutes and were extremely helpful. The bicep sleeve is awesome I use during jui jitsu and it stays put the whole 60-90min session. No issues with using using the device in the pool (don't wear battery pack in water). Strap is good quality it's kept it's elasticity. Definitely would recommend!
120,google_play,3,2025-11-10T01:09:48,AS.update,1,it gets bizzarre everytime the app needs an update
121,google_play,3,2026-03-05T05:14:16,PB.value,1,it's okay but not sure its worth the subscription fee yet
122,app_store,4,2026-06-30T05:06:56-07:00,ST.accuracy,1,I have the whoop 4.0 and it is really helpful in recovery and life. The only complaint I have is that every once in a while the numbers are off for sleep score.
123,google_play,3,2020-06-22T04:29:12,DA.accuracy;PB.value,2,Its good about 88% of the time but it Constantly misses picking up info throughout the day and more importantly misses sleep. Frequent needs for updates and input of more information from me. My fiances fitbit is more accurate than this is.. its great in theory but its very expensive for how much feedback it can't give me.
124,app_store,5,2026-07-08T04:55:51-07:00,LOC.missing,1,"Do you have any plans to release a Chinese version of your product? If so, when do you expect to launch a version with a Chinese-language interface?"
125,google_play,2,2025-03-22T05:40:51,PP.bugs,1,"I use Whoop on Pixel and my friend uses on iPhone. You could do better with the interface on Pixel. It's the same on both the operating systems, however the app on the Pixel is not full screen and leaves an ugly black bar on top. You gotta make it seamless like iOS. Love the product but not a fan of how you all have built the android app and I'm really hoping you could fix this."
126,google_play,5,2023-04-25T13:48:52,ST.satisfaction,1,I really enjoy the sleep tracking feature. The information provided by whoop for strain and recovery are helpful guides and usually a good reminder that I have more in the tank and can push myself harder.
127,google_play,4,2024-02-29T16:50:15,DA.accuracy;FR.activity,2,"Pros: Fun to use, I like the user interface for the most part. It's great for cardio workout tracking. It auto detects activities. I like the daily tips for what to do during the day. I've been testing it with the oura ring and the data more or less matches. I'm a fan of the strap itself. Cons: Not helpful for strength activities like Pilates and yoga"
